Product_ID,Product_Name,Category,Sub_Category,Annual_Demand,Annual_Revenue,Order_Count,Unit_Cost
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.824,5,3079.9912
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,31,27453.384,10,885.5930322580646
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,6,22638.48,1,3773.08
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,39,21870.576,8,560.784
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,37,19823.479,11,535.7697027027027
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,48,19024.5,9,396.34375
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,38,18839.686,8,495.7812105263158
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,12,18374.895,3,1531.24125
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,27,17965.068,6,665.3728888888888
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,11,17030.311999999998,3,1548.2101818181816
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,18,16829.901,4,934.9945
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,22,16656.2,6,757.1
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,13,15875.916,3,1221.2243076923078
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,24,15610.9656,5,650.4569
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,11,14299.89,2,1299.99
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,39,13943.668,6,357.5299487179487
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,24,12996.600000000002,6,541.5250000000001
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,46,12995.2915,12,282.50633695652175
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,32,12975.382,9,405.4806875
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,19,11619.834,4,611.5702105263157
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,53,11572.78,13,218.35433962264153
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,40,11304.44,8,282.611
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,9,11099.963,3,1233.329222222222
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,27,11046.609,6,409.1336666666666
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,43,10925.004,11,254.06986046511625
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,35,10822.36,10,309.2102857142857
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,51,10637.528,12,208.5789803921569
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,41,10196.604,9,248.69765853658535
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,27,9917.64,5,367.3200000000001
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,47,9630.856,12,204.91182978723404
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,33,9544.725,7,289.2340909090909
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,24,9367.29,7,390.30375
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,Machines,14,9279.884,4,662.8488571428571
OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage,28,9158.296,8,327.082
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,31,9070.944,8,292.6110967741935
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,16,8959.872,5,559.992
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,21,8899.822,7,423.8010476190476
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,Technology,Phones,32,8878.4,10,277.45
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,28,8774.5,8,313.375
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,35,8665.194,8,247.57697142857143
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,34,8430.997,8,247.9705
FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,61,8209.059,13,134.57473770491802
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,49,8138.232,13,166.08636734693877
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,27,8070.192,6,298.896
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,4,7999.98,1,1999.995
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,28,7985.383,8,285.19225
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,33,7979.44,9,241.80121212121213
TEC-MA-10000984,Okidata MB760 Printer,Technology,Machines,7,7834.4,2,1119.2
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,45,7730.196,11,171.78213333333332
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,11,7699.89,2,699.99
TEC-PH-10004165,Mitel MiVoice 5330e IP Phone,Technology,Phones,34,7699.72,9,226.46235294117648
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,24,7582.374,6,315.93225
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,35,7539.7122,8,215.42034857142855
OFF-ST-10001780,Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,13,7515.523999999999,5,578.1172307692307
FUR-TA-10003954,Hon 94000 Series Round Tables,Furniture,Tables,30,7404.5,5,246.81666666666663
TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories,31,7399.704,5,238.70012903225805
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,29,7242.768,8,249.75062068965516
TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,28,7139.796,6,254.9927142857143
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,6,6965.700000000001,2,1160.95
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,36,6942.068,8,192.83522222222223
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,34,6936.102,9,204.003
OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,31,6832.908,6,220.4163870967742
OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,25,6819.312,6,272.77248
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,23,6785.142,8,295.0061739130435
FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,Furniture,Tables,21,6776.562000000001,6,322.6934285714286
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,26,6751.602,6,259.677
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,43,6748.482,10,156.94144186046512
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,Technology,Phones,13,6695.892,4,515.0686153846153
OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage,40,6594.954,10,164.87385
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,36,6584.64,6,182.90666666666667
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,43,6574.544,9,152.89637209302325
FUR-TA-10001950,Balt Solid Wood Round Tables,Furniture,Tables,19,6518.754,4,343.0923157894737
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,22,6483.796,4,294.718
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,26,6410.874,8,246.5720769230769
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,17,6399.872,4,376.4630588235294
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Technology,Phones,40,6227.654,8,155.69135
TEC-PH-10002584,Samsung Galaxy S4,Technology,Phones,13,6134.701999999999,5,471.9001538461538
TEC-PH-10002624,Samsung Galaxy S4 Mini,Technology,Phones,15,6109.87,5,407.32466666666664
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,17,6084.144,5,357.89082352941176
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,39,6008.536,11,154.06502564102564
TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,11,5999.9,4,545.4454545454545
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,39,5989.204,10,153.56933333333333
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,26,5965.09,7,229.42653846153848
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,18,5906.52,3,328.14000000000004
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,21,5906.032,7,281.23961904761904
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,21,5861.532999999999,7,279.120619047619
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,23,5801.816,5,252.2528695652174
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,14,5787.355,3,413.3825
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,49,5751.774,8,117.38314285714286
